timestamp,open,high,low,close,volume
2024-02-05 23:00:00,94.75,95.92,94.56,95.65,22649.318
2024-02-06 00:00:00,95.65,95.97,95.42,95.58,18191.383
2024-02-06 01:00:00,95.58,96.18,95.21,95.83,23792.721
2024-02-06 02:00:00,95.83,96.74,95.64,96.43,17388.315
2024-02-06 03:00:00,96.43,96.81,95.64,96.02,34391.378
2024-02-06 04:00:00,96.02,96.1,95.39,95.44,18288.246
2024-02-06 05:00:00,95.44,95.63,94.9,95.52,25080.615
2024-02-06 06:00:00,95.52,95.7,95.24,95.52,10374.974
2024-02-06 07:00:00,95.52,95.94,95.28,95.77,20836.18
2024-02-06 08:00:00,95.77,96.25,95.67,96.22,30051.103
2024-02-06 09:00:00,96.22,96.35,95.75,96.12,14731.301
2024-02-06 10:00:00,96.12,96.14,93.17,93.96,118827.051
2024-02-06 11:00:00,93.96,94.86,93.0,94.32,67540.958
2024-02-06 12:00:00,94.32,94.89,93.3,94.26,54938.339
2024-02-06 13:00:00,94.26,94.79,93.72,93.85,42121.008
2024-02-06 14:00:00,93.85,95.12,93.85,94.22,31484.042
2024-02-06 15:00:00,94.22,95.87,94.12,95.76,37569.479
2024-02-06 16:00:00,95.76,96.11,95.21,95.26,32755.168
2024-02-06 17:00:00,95.26,95.9,95.14,95.89,15528.238
2024-02-06 18:00:00,95.89,96.59,95.33,96.38,26326.157
2024-02-06 19:00:00,96.38,97.68,96.1,97.57,63078.651
2024-02-06 20:00:00,97.57,97.91,97.15,97.27,39022.001
2024-02-06 21:00:00,97.27,97.42,96.85,97.01,21123.433
2024-02-06 22:00:00,97.01,97.84,96.74,97.45,18237.569
2024-02-06 23:00:00,97.45,97.59,96.79,96.87,21238.598
2024-02-07 00:00:00,96.87,97.38,96.77,97.03,12461.59
2024-02-07 01:00:00,97.03,97.47,96.91,97.11,12032.953
2024-02-07 02:00:00,97.11,97.19,96.32,96.38,15491.542
2024-02-07 03:00:00,96.38,96.49,95.49,95.5,25806.725
2024-02-07 04:00:00,95.5,95.8,95.01,95.52,22190.596
2024-02-07 05:00:00,95.52,96.19,95.09,95.93,20335.266
2024-02-07 06:00:00,95.93,96.0,95.61,95.9,12443.372
