variant,description,assets,n_trades,trades_per_year,is_sharpe,is_total,is_mdd,oos_sharpe,oos_total,oos_mdd,full_sharpe,full_total,full_mdd
V7_plus_opusdt_short,V6 + opusdt (short only),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|opusdt,819,360.16385597006683,0.29429694890581765,0.09676835663457937,-0.30305223540238835,2.990620528467885,0.4620397989715549,-0.11814211060466512,1.1404503317954928,0.5588081556061337,-0.30305223540238835
V7_plus_injusdt_short,V6 + injusdt (short only),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|injusdt,812,357.0861299504516,0.5006012885917032,0.16761062784505534,-0.3320579721422239,2.7615887504740337,0.4130500839142227,-0.11332006935694208,1.1786886775364764,0.5806607117592778,-0.3320579721422239
V7_plus_taousdt_short,V6 + taousdt (short only),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|taousdt,830,365.0018323385158,0.5144160347447887,0.17881262457324248,-0.25801981316155764,2.5403812789132822,0.39053465371040413,-0.13869627748761296,1.1159921531015666,0.5693472782836461,-0.25801981316155764
V7_plus_opusdt_both,V6 + opusdt (both),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|opusdt,826,363.24217952536657,0.1620749285573105,0.053212092865675055,-0.31417613368194813,2.504036599385111,0.38339926880698644,-0.11846476943436984,0.8943449043748576,0.43661136167266157,-0.31417613368194813
V7_plus_injusdt_both,V6 + injusdt (both),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|injusdt,820,360.60421990070233,0.08724815429432989,0.02934636835694366,-0.3320579721422239,2.3791936026774154,0.3615912513898827,-0.14365369694702027,0.7876814124969383,0.3909376197468265,-0.3320579721422239
V7_plus_tiausdt_both,V6 + tiausdt (both),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|tiausdt,813,357.52589119423294,0.5117366888244256,0.17144324366706748,-0.2740741136103565,2.3308604200193757,0.34113352831469956,-0.15455037212957654,1.0454874453293428,0.5125767719817671,-0.2740741136103565
V7_plus_tiausdt_short,V6 + tiausdt (short only),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|tiausdt,805,354.00780124398216,0.4859921078547358,0.1625336831510843,-0.2713418732898386,2.3308604200193757,0.34113352831469956,-0.15455037212957654,1.0286856784386142,0.503667211465784,-0.2713418732898386
V7_plus_rndrusdt_both,V6 + rndrusdt (both),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|rndrusdt,759,333.77878403004036,0.616482724031784,0.21019772117366686,-0.2643332662466765,2.317813652128339,0.32718505722622754,-0.1167851675654131,1.0896023986545993,0.5373827783998953,-0.2643332662466765
V7_plus_rndrusdt_short,V6 + rndrusdt (short only),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|rndrusdt,755,332.01973905491496,0.6776929195146392,0.23201314057750266,-0.25532785573085764,2.317813652128339,0.32718505722622754,-0.1167851675654131,1.1302123056063103,0.5591981978037314,-0.25532785573085764
V6_baseline,V6 production: trio + FET/ARB short,suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt,714,313.98952805987983,0.558182368733737,0.20291501267817824,-0.29416093491945605,2.3178136521283386,0.37694697294131163,-0.1345471451888101,1.08412707283375,0.5798619856194904,-0.29416093491945605
V7_plus_taousdt_both,V6 + taousdt (both),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|taousdt,860,378.19466965195613,0.4947166104331934,0.17288164778096107,-0.23912784041514987,2.0667737769967816,0.30629588914004013,-0.12661297328719112,0.9432196242178813,0.4791775369210013,-0.23912784041514987
V7_plus_solusdt_both,V6 + solusdt (both),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|solusdt,879,386.55013328380164,0.5674836466579111,0.18255408172256465,-0.28486381450832443,1.9864867458302147,0.30493403104908906,-0.14245739910848068,1.014038238542607,0.48748811277165316,-0.28486381450832443
V7_plus_solusdt_short,V6 + solusdt (short only),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|solusdt,843,370.71872850767323,0.3880976628672492,0.12593848709226854,-0.27480077678665765,1.8674222795397282,0.2879428300452163,-0.1403824769646962,0.8543299011296552,0.4138813171374848,-0.27480077678665765
