asset,entry_time,exit_time,side,entry_px,exit_px,raw_log_ret,holding_days,funding_cost,fee_cost,net_log_ret
btcusdt,2024-01-09 21:13:00,2024-01-10 21:53:00,1,47697.4,45721.1,-0.04231699094144211,1.0277777777777777,0.0,0.0012000000000000001,-0.04351699094144211
btcusdt,2024-01-26 20:51:00,2024-01-30 16:02:00,1,41853.7,43317.1,0.0343672721978855,3.7993055555555557,0.0,0.0012000000000000001,0.0331672721978855
btcusdt,2024-02-05 11:37:00,2024-02-08 14:17:00,1,43155.0,45121.4,0.044558349405606934,3.111111111111111,0.00024030222222222222,0.0012000000000000001,0.04311804718338471
btcusdt,2024-02-08 14:31:00,2024-02-10 10:51:00,1,44876.5,46902.0,0.044146046032603796,1.8472222222222223,0.00013787050925925928,0.0012000000000000001,0.04280817552334454
btcusdt,2024-02-11 03:20:00,2024-02-13 02:55:00,1,48051.4,49951.9,0.03878927110098828,1.9826388888888888,0.00019826388888888888,0.0012000000000000001,0.03739100721209939
btcusdt,2024-02-13 14:21:00,2024-02-15 03:36:00,1,48890.0,52289.4,0.06722079707434712,1.5520833333333333,0.0001670196875,0.0012000000000000001,0.06585377738684711
btcusdt,2024-02-15 07:57:00,2024-02-17 13:43:00,1,51797.9,51300.0,-0.009658855726383038,2.2402777777777776,0.00026913950462962964,0.0012000000000000001,-0.011127995231012667
btcusdt,2024-02-20 23:08:00,2024-02-23 09:47:00,-1,52388.3,51025.0,0.026367575257104075,2.44375,-0.000340945890625,0.0012000000000000001,0.025508521147729075
btcusdt,2024-02-24 17:14:00,2024-02-27 02:06:00,-1,51327.9,56437.1,-0.09489227967814325,2.3694444444444445,-0.00044577543055555554,0.0012000000000000001,-0.0956465042475877
btcusdt,2024-02-27 02:07:00,2024-02-28 08:47:00,1,56867.1,59010.1,0.03699164917110837,1.2777777777777777,0.0004887691666666666,0.0012000000000000001,0.035302880004441706
btcusdt,2024-02-28 09:01:00,2024-02-28 17:42:00,1,59278.5,60972.9,0.02818282614053418,0.36180555555555555,0.00019370345833333332,0.0012000000000000001,0.026789122682200846
btcusdt,2024-03-04 00:50:00,2024-03-04 21:02:00,1,62945.4,67451.5,0.06914113714963688,0.8416666666666667,0.0005354683333333333,0.0012000000000000001,0.06740566881630354
btcusdt,2024-03-04 21:12:00,2024-03-05 15:26:00,-1,67213.9,67808.7,-0.008810433920623069,0.7597222222222222,-0.0005765076111111111,0.0012000000000000001,-0.009433926309511956
btcusdt,2024-03-05 15:28:00,2024-03-05 21:27:00,-1,67478.4,63837.3,0.0554698876534721,0.24930555555555556,-0.00021975786111111113,0.0012000000000000001,0.05448964551458321
btcusdt,2024-03-05 21:32:00,2024-03-06 16:05:00,-1,63808.4,66666.6,-0.04381923475328354,0.7729166666666667,-0.0005313879375000001,0.0012000000000000001,-0.044487846815783536
btcusdt,2024-03-06 16:20:00,2024-03-08 13:46:00,1,66935.4,67770.8,0.01240344854484702,1.8930555555555555,0.0010505448703703702,0.0012000000000000001,0.01015290367447665
btcusdt,2024-03-10 04:11:00,2024-03-11 12:01:00,1,69504.0,71634.1,0.0301869127040632,1.3263888888888888,0.0008016362847222221,0.0012000000000000001,0.028185276419340977
btcusdt,2024-03-11 12:16:00,2024-03-12 16:24:00,-1,71598.8,70932.6,0.009348183649543021,1.1722222222222223,-0.0006701066944444445,0.0012000000000000001,0.008818290343987466
btcusdt,2024-03-13 07:30:00,2024-03-14 15:28:00,1,73110.1,70958.0,-0.02987837139500643,1.3319444444444444,0.0005571523611111111,0.0012000000000000001,-0.03163552375611754
btcusdt,2024-03-15 04:52:00,2024-03-16 00:05:00,-1,67597.6,69698.8,-0.030610621515421807,0.8006944444444445,-0.0001446014131944445,0.0012000000000000001,-0.03166602010222736
btcusdt,2024-03-19 10:35:00,2024-03-20 05:25:00,-1,63363.4,60938.9,0.039014684829465254,0.7847222222222222,-0.0001334734027777778,0.0012000000000000001,0.03794815823224303
btcusdt,2024-03-20 10:40:00,2024-03-21 08:51:00,-1,63035.0,67518.6,-0.06871298779234795,0.9243055555555556,-0.00013638128472222223,0.0012000000000000001,-0.06977660650762574
btcusdt,2024-03-25 14:05:00,2024-03-26 15:24:00,1,67841.7,69925.1,0.03024761905874229,1.054861111111111,0.0002931406284722222,0.0012000000000000001,0.028754478430270066
btcusdt,2024-03-27 13:11:00,2024-03-28 16:27:00,1,71344.0,70938.3,-0.005702762739950245,1.136111111111111,0.00041502706944444444,0.0012000000000000001,-0.00731778980939469
btcusdt,2024-03-28 16:55:00,2024-04-01 03:01:00,-1,70661.7,70939.8,-0.003927929542532073,3.4208333333333334,-0.00110650275,0.0012000000000000001,-0.004021426792532073
btcusdt,2024-04-01 14:58:00,2024-04-02 15:53:00,-1,68972.7,65122.0,0.057448340378996314,1.0381944444444444,-0.0002280134548611111,0.0012000000000000001,0.05647635383385743
btcusdt,2024-04-02 23:38:00,2024-04-04 18:01:00,-1,65526.9,69244.0,-0.05517575335920929,1.7659722222222223,-0.00021460094444444446,0.0012000000000000001,-0.056161152414764846
btcusdt,2024-04-04 18:04:00,2024-04-06 15:02:00,1,69061.1,68027.8,-0.015075174853440978,1.8736111111111111,0.00018736111111111113,0.0012000000000000001,-0.016462535964552088
btcusdt,2024-04-06 15:19:00,2024-04-08 14:58:00,-1,68155.3,71800.5,-0.052102515073765884,1.9854166666666666,-0.00036524386805555556,0.0012000000000000001,-0.05293727120571033
btcusdt,2024-04-08 15:17:00,2024-04-10 10:17:00,1,71874.5,68740.4,-0.04458445213859917,1.7916666666666667,0.0003837152777777778,0.0012000000000000001,-0.04616816741637695
btcusdt,2024-04-10 13:22:00,2024-04-12 03:46:00,-1,67759.2,70911.7,-0.04547519718148665,1.6,-0.0002238773333333333,0.0012000000000000001,-0.046451319848153316
btcusdt,2024-05-06 11:07:00,2024-05-08 13:26:00,1,64244.0,62021.9,-0.03520078571865621,2.0965277777777778,0.0001821603101851852,0.0012000000000000001,-0.03658294602884139
btcusdt,2024-05-20 16:03:00,2024-05-21 19:45:00,1,67655.1,69428.8,0.02587902721896095,1.1541666666666666,7.24355e-05,0.0012000000000000001,0.02460659171896095
btcusdt,2024-05-26 07:37:00,2024-05-29 02:35:00,1,69376.5,68810.3,-0.008194750418171989,2.790277777777778,0.0002968716041666667,0.0012000000000000001,-0.009691622022338656
btcusdt,2024-06-04 19:39:00,2024-06-07 12:28:00,1,70183.6,71877.1,0.02384305057684227,2.7006944444444443,0.00030492190625,0.0012000000000000001,0.02233812867059227
btcusdt,2024-06-09 16:18:00,2024-06-12 04:03:00,-1,69588.3,67429.0,0.0315212573188832,2.4895833333333335,-0.00024895833333333334,0.0012000000000000001,0.030570215652216536
btcusdt,2024-06-13 11:09:00,2024-06-16 09:26:00,-1,67786.2,66329.3,0.021726904218657108,2.928472222222222,-0.00029284722222222223,0.0012000000000000001,0.02081975144087933
btcusdt,2024-06-26 07:27:00,2024-06-29 11:34:00,-1,61590.0,61107.4,0.007866547925357395,3.171527777777778,-0.0003171527777777778,0.0012000000000000001,0.006983700703135172
btcusdt,2024-07-04 13:55:00,2024-07-05 15:04:00,-1,57421.0,56007.9,0.024917337861843747,1.0479166666666666,-6.162797916666666e-05,0.0012000000000000001,0.023778965841010413
btcusdt,2024-07-06 15:21:00,2024-07-08 13:49:00,-1,57144.0,56832.9,0.005459014459708267,1.9361111111111111,-0.0001500486111111111,0.0012000000000000001,0.004409063070819378
btcusdt,2024-07-08 14:15:00,2024-07-10 12:34:00,1,57040.0,57947.7,0.015788103504672753,1.929861111111111,0.0001639417013888889,0.0012000000000000001,0.014424161803283864
btcusdt,2024-07-14 03:08:00,2024-07-15 23:42:00,-1,59463.5,64760.7,-0.08533625895362948,1.8569444444444445,-7.268080555555557e-05,0.0012000000000000001,-0.08646357814807393
btcusdt,2024-07-16 00:02:00,2024-07-17 12:04:00,1,64733.7,64663.7,-0.0010819383825091625,1.5013888888888889,3.648375e-05,0.0012000000000000001,-0.0023184221325091626
btcusdt,2024-07-19 15:04:00,2024-07-22 01:54:00,1,65688.8,67772.9,0.031233970911374392,2.451388888888889,5.909685763888889e-05,0.0012000000000000001,0.029974874053735504
btcusdt,2024-07-22 02:37:00,2024-07-24 08:48:00,1,68145.0,66312.0,-0.027266911590251172,2.2576388888888888,0.00013102583564814814,0.0012000000000000001,-0.02859793742589932
btcusdt,2024-07-27 14:27:00,2024-07-29 13:04:00,1,68819.7,69886.1,0.015376732795592925,1.9423611111111112,0.0001418765300925926,0.0012000000000000001,0.014034856265500334
btcusdt,2024-07-29 13:07:00,2024-07-31 00:56:00,1,69775.4,66369.4,-0.05004540523029204,1.492361111111111,0.00010703711342592593,0.0012000000000000001,-0.05135244234371796
btcusdt,2024-07-31 02:06:00,2024-08-01 18:01:00,-1,66237.8,63200.0,0.04694699581225679,1.6631944444444444,-0.00011497663194444446,0.0012000000000000001,0.04586197244420123
btcusdt,2024-08-02 13:38:00,2024-08-03 21:49:00,-1,65066.7,60722.4,0.06910023960787856,1.3409722222222222,-9.552415625e-05,0.0012000000000000001,0.06799576376412855
btcusdt,2024-08-04 22:50:00,2024-08-05 08:43:00,-1,58712.3,52422.9,0.11330572615661068,0.41180555555555554,-3.287649652777778e-05,0.0012000000000000001,0.11213860265313845
btcusdt,2024-08-16 12:41:00,2024-08-19 17:53:00,-1,57573.1,58912.7,-0.02300124238134671,3.216666666666667,4.676229166666667e-05,0.0012000000000000001,-0.024248004673013374
btcusdt,2024-09-23 03:22:00,2024-09-25 13:55:00,1,64460.0,63627.5,-0.012999109557699283,2.439583333333333,5.251609722222221e-05,0.0012000000000000001,-0.014251625654921505
btcusdt,2024-09-27 14:37:00,2024-09-30 18:20:00,1,66378.7,63134.8,-0.05010409881731671,3.154861111111111,0.0001651727534722222,0.0012000000000000001,-0.05146927157078893
btcusdt,2024-09-30 22:32:00,2024-10-02 09:56:00,-1,63619.9,61252.5,0.03792164956860239,1.475,-0.00013860575000000002,0.0012000000000000001,0.03686025531860239
btcusdt,2024-10-02 12:08:00,2024-10-04 04:56:00,-1,61068.8,60963.0,0.0017339746936256785,1.7,-7.606933333333333e-05,0.0012000000000000001,0.0006100440269590118
btcusdt,2024-10-12 11:19:00,2024-10-14 22:57:00,1,63170.0,66252.5,0.04764369509279986,2.484722222222222,0.00010310768981481481,0.0012000000000000001,0.046340587402985044
btcusdt,2024-10-15 13:58:00,2024-10-16 16:12:00,1,67674.5,67690.8,0.0002408298150085332,1.0930555555555554,0.00010930555555555555,0.0012000000000000001,-0.0010684757405470225
btcusdt,2024-10-16 16:36:00,2024-10-18 19:48:00,-1,67470.1,68574.6,-0.0162376669986789,2.1333333333333333,-0.00021333333333333333,0.0012000000000000001,-0.017224333665345568
btcusdt,2024-10-19 05:05:00,2024-10-22 09:15:00,1,68350.2,67100.1,-0.018458954991767605,3.173611111111111,0.00031736111111111114,0.0012000000000000001,-0.019976316102878717
btcusdt,2024-10-23 06:53:00,2024-10-25 08:24:00,-1,67012.5,67554.6,-0.008056990639411715,2.0631944444444446,-0.00020631944444444446,0.0012000000000000001,-0.00905067119496727
btcusdt,2024-10-27 12:19:00,2024-10-29 13:35:00,-1,67185.3,71027.1,-0.05560702075717645,2.0527777777777776,-0.00019806568518518516,0.0012000000000000001,-0.05660895507199126
btcusdt,2024-10-29 13:41:00,2024-10-30 21:36:00,1,71363.0,72138.0,0.010801423473999826,1.3298611111111112,0.00013298611111111112,0.0012000000000000001,0.009468437362888715
btcusdt,2024-10-30 22:30:00,2024-11-01 15:03:00,1,72513.5,71157.6,-0.0188756160067719,1.6895833333333334,0.00016895833333333335,0.0012000000000000001,-0.020244574340105233
btcusdt,2024-11-01 23:14:00,2024-11-04 17:36:00,-1,69570.4,67829.5,0.02534198596251661,2.765277777777778,-0.00027652777777777783,0.0012000000000000001,0.024418513740294388
btcusdt,2024-11-05 14:25:00,2024-11-06 05:52:00,1,69292.0,74740.8,0.07569666835643851,0.64375,6.4375e-05,0.0012000000000000001,0.0744322933564385
btcusdt,2024-11-06 06:02:00,2024-11-07 04:44:00,1,74890.4,74678.0,-0.002840174031126789,0.9458333333333333,9.458333333333333e-05,0.0012000000000000001,-0.004134757364460123
btcusdt,2024-11-07 05:22:00,2024-11-08 20:14:00,-1,74867.5,76727.6,-0.02454160271767166,1.6194444444444445,-0.00016194444444444446,0.0012000000000000001,-0.025579658273227217
btcusdt,2024-11-10 04:53:00,2024-11-11 05:53:00,1,79438.1,80631.5,0.01491128999240779,1.0416666666666667,0.00012558854166666667,0.0012000000000000001,0.013585701450741124
btcusdt,2024-11-11 09:47:00,2024-11-11 21:21:00,-1,81610.1,87898.5,-0.07422971087867615,0.48194444444444445,-4.819444444444445e-05,0.0012000000000000001,-0.07538151643423172
btcusdt,2024-11-11 21:25:00,2024-11-12 10:24:00,1,88029.6,87666.0,-0.004138982639002068,0.5409722222222222,0.00013187279861111108,0.0012000000000000001,-0.0054708554376131785
btcusdt,2024-11-12 10:34:00,2024-11-13 00:07:00,-1,87344.8,88116.4,-0.008795163533747033,0.5645833333333333,-0.00017109697916666664,0.0012000000000000001,-0.009824066554580365
btcusdt,2024-11-13 00:29:00,2024-11-13 17:32:00,-1,88267.3,92040.3,-0.04185681401867731,0.7104166666666667,-0.00015526866666666666,0.0012000000000000001,-0.04290154535201064
btcusdt,2024-11-13 17:43:00,2024-11-14 14:51:00,1,92059.1,89396.9,-0.029344756145373317,0.8805555555555555,0.0001402548888888889,0.0012000000000000001,-0.030685011034262206
btcusdt,2024-11-18 20:32:00,2024-11-20 02:05:00,-1,91681.8,91849.0,-0.0018220380040427444,1.23125,-0.00020224102083333333,0.0012000000000000001,-0.0028197969832094113
btcusdt,2024-11-20 16:28:00,2024-11-21 14:42:00,1,93600.6,97024.4,0.03592569954323515,0.9263888888888889,9.26388888888889e-05,0.0012000000000000001,0.03463306065434626
btcusdt,2024-11-21 14:48:00,2024-11-22 15:32:00,1,97528.8,98230.0,0.0071639486850385145,1.0305555555555554,0.00010305555555555555,0.0012000000000000001,0.005860893129482958
btcusdt,2024-11-25 22:38:00,2024-11-26 21:04:00,-1,92918.1,91379.0,0.01670276723459628,0.9347222222222222,-0.0002562634444444444,0.0012000000000000001,0.015759030679040727
btcusdt,2024-12-01 13:22:00,2024-12-03 07:37:00,1,97348.1,95465.7,-0.01952619375299611,1.7604166666666667,0.0002073712152777778,0.0012000000000000001,-0.020933564968273886
btcusdt,2024-12-03 10:59:00,2024-12-04 20:00:00,-1,94743.1,97359.9,-0.027245403471086498,1.3756944444444446,-0.00024202592361111114,0.0012000000000000001,-0.028203377547475386
btcusdt,2024-12-05 02:36:00,2024-12-05 18:57:00,1,100226.9,100395.0,0.0016757895258612382,0.68125,0.00032058943749999996,0.0012000000000000001,0.00015520008836123812
btcusdt,2024-12-08 07:56:00,2024-12-09 20:46:00,-1,99782.4,96666.7,0.03172283592010389,1.5347222222222223,-0.00022019427083333335,0.0012000000000000001,0.030743030190937222
btcusdt,2024-12-11 17:53:00,2024-12-13 12:03:00,1,100256.1,100405.6,0.0014900703787654448,1.7569444444444444,0.00017569444444444444,0.0012000000000000001,0.00011437593432100024
btcusdt,2024-12-15 23:22:00,2024-12-17 03:05:00,1,104365.6,106363.2,0.018959533185767492,1.1548611111111111,0.00011233334027777777,0.0012000000000000001,0.017647199845489715
btcusdt,2024-12-17 15:56:00,2024-12-18 20:18:00,1,106230.3,101293.9,-0.04758318658412634,1.1819444444444445,0.00011819444444444445,0.0012000000000000001,-0.04890138102857078
btcusdt,2024-12-19 17:54:00,2024-12-20 12:09:00,-1,97787.8,92443.8,0.05619893257642228,0.7604166666666666,-7.604166666666667e-05,0.0012000000000000001,0.055074974243088944
btcusdt,2024-12-20 12:15:00,2024-12-21 20:43:00,-1,92501.6,97503.7,-0.052664384335635375,1.3527777777777779,-0.00013527777777777778,0.0012000000000000001,-0.0537291065578576
btcusdt,2025-01-14 13:35:00,2025-01-16 03:10:00,1,96477.8,99750.0,0.03335412570448169,1.5659722222222223,0.00010407451388888889,0.0012000000000000001,0.0320500511905928
btcusdt,2025-01-17 18:54:00,2025-01-19 13:09:00,1,104836.7,105244.4,0.0038813630719998064,1.7604166666666667,0.00013750027777777778,0.0012000000000000001,0.0025438627942220285
btcusdt,2025-01-20 03:00:00,2025-01-20 17:12:00,1,101740.0,104893.1,0.03052119691382552,0.5916666666666667,5.916666666666667e-05,0.0012000000000000001,0.029262030247158854
btcusdt,2025-02-25 14:31:00,2025-02-26 15:37:00,-1,88618.7,88021.3,0.006764065644411262,1.0458333333333334,-5.9534062500000004e-05,0.0012000000000000001,0.005623599706911262
btcusdt,2025-03-02 18:50:00,2025-03-03 18:35:00,1,92900.7,87991.6,-0.05428982539858158,0.9895833333333334,1.1889843749999999e-05,0.0012000000000000001,-0.05550171524233158
btcusdt,2025-03-16 16:08:00,2025-03-18 16:34:00,1,84772.5,81952.5,-0.03383138661998571,2.0180555555555557,3.780490740740741e-05,0.0012000000000000001,-0.035069191527393115
btcusdt,2025-03-20 15:36:00,2025-03-24 00:57:00,1,84800.0,86003.5,0.014092450301941145,3.3895833333333334,6.3005575e-05,0.0012000000000000001,0.012829444726941145
btcusdt,2025-03-24 16:34:00,2025-03-26 19:21:00,1,87815.9,86204.0,-0.01852599733439357,2.115972222222222,-7.250731481481482e-05,0.0012000000000000001,-0.019653490019578754
btcusdt,2025-04-02 20:29:00,2025-04-04 10:06:00,1,85837.5,84330.5,-0.017712371289715326,1.5673611111111112,7.97003125e-05,0.0012000000000000001,-0.018992071602215325
btcusdt,2025-04-06 23:20:00,2025-04-07 14:14:00,-1,77498.3,79529.5,-0.025872021378689426,0.6208333333333333,-1.36428125e-05,0.0012000000000000001,-0.027058378566189426
btcusdt,2025-04-11 11:26:00,2025-04-13 09:16:00,1,82388.9,84509.1,0.025408501768895288,1.9097222222222223,0.00011662037037037038,0.0012000000000000001,0.024091881398524917
btcusdt,2025-04-15 14:19:00,2025-04-17 17:54:00,1,85092.6,85130.0,0.0004394246193138011,2.1493055555555554,5.2199467592592595e-05,0.0012000000000000001,-0.0008127748482787917
btcusdt,2025-04-21 00:26:00,2025-04-22 13:12:00,1,85918.1,89435.0,0.040117587523204636,1.5319444444444446,-4.2067194444444455e-05,0.0012000000000000001,0.03895965471764908
btcusdt,2025-04-22 15:02:00,2025-04-23 19:13:00,1,90966.4,93359.7,0.025969567040373565,1.1743055555555555,-1.443221527777778e-05,0.0012000000000000001,0.02478399925565134
btcusdt,2025-04-27 19:15:00,2025-04-29 22:53:00,1,94249.9,94233.8,-0.00017083705422955375,2.151388888888889,-3.540468981481482e-05,0.0012000000000000001,-0.001335432364414739
btcusdt,2025-04-29 23:12:00,2025-05-01 19:42:00,1,93741.9,96459.6,0.028579006717803206,1.8541666666666667,-6.501944444444445e-05,0.0012000000000000001,0.027444026162247653
btcusdt,2025-05-02 14:15:00,2025-05-05 16:26:00,1,96759.8,94139.8,-0.027450707294560936,3.0909722222222222,-6.70277326388889e-05,0.0012000000000000001,-0.028583679561922048
btcusdt,2025-05-05 17:11:00,2025-05-07 17:59:00,-1,94094.6,96277.4,-0.022932948795358715,2.033333333333333,1.1522222222222213e-06,0.0012000000000000001,-0.024134101017580935
btcusdt,2025-05-07 20:56:00,2025-05-09 00:13:00,-1,96563.7,103037.1,-0.06488622335073051,1.1368055555555556,-4.329713425925926e-05,0.0012000000000000001,-0.06604292621647126
btcusdt,2025-05-09 00:35:00,2025-05-11 07:51:00,1,102632.5,103438.3,0.00782065297038957,2.3027777777777776,0.00014304087962962962,0.0012000000000000001,0.00647761209075994
btcusdt,2025-05-12 14:13:00,2025-05-14 08:58:00,-1,104030.3,103320.4,0.006847363174738106,1.78125,-7.559625e-05,0.0012000000000000001,0.0057229594247381055
btcusdt,2025-05-18 18:03:00,2025-05-19 20:29:00,1,104560.5,105673.7,0.010590193260332304,1.101388888888889,6.668909722222223e-05,0.0012000000000000001,0.009323504163110083
btcusdt,2025-05-19 21:15:00,2025-05-21 07:46:00,-1,105392.8,106495.0,-0.010403713112063584,1.4381944444444446,-4.0724872685185196e-05,0.0012000000000000001,-0.011562988239378399
btcusdt,2025-05-21 15:00:00,2025-05-22 03:48:00,1,108609.0,111422.8,0.025577697420888175,0.5333333333333333,4.0317333333333334e-05,0.0012000000000000001,0.02433738008755484
btcusdt,2025-05-22 03:51:00,2025-05-23 12:13:00,1,111702.9,107969.7,-0.033992035931829784,1.3486111111111112,0.0001255152361111111,0.0012000000000000001,-0.03531755116794089
btcusdt,2025-05-24 14:39:00,2025-05-26 13:25:00,-1,108845.3,109651.1,-0.007375898671257813,1.948611111111111,-0.0001381565277777778,0.0012000000000000001,-0.008437742143480035
btcusdt,2025-05-27 02:49:00,2025-05-28 16:12:00,-1,108330.9,107201.3,0.010482056442058593,1.5576388888888888,-6.109059722222222e-05,0.0012000000000000001,0.009343147039280816
btcusdt,2025-05-29 01:00:00,2025-05-30 11:26:00,-1,108184.3,105704.7,0.023186896864591508,1.4347222222222222,-0.00011313502083333332,0.0012000000000000001,0.02210003188542484
btcusdt,2025-05-30 11:54:00,2025-06-01 23:15:00,-1,105854.3,105731.6,0.001159812764029304,2.472916666666667,-0.0001335045277777778,0.0012000000000000001,9.331729180708185e-05
btcusdt,2025-06-06 06:09:00,2025-06-09 07:47:00,-1,102928.3,105532.6,-0.024987280600138332,3.0680555555555555,2.4897270833333332e-05,0.0012000000000000001,-0.026212177870971666
