asset,fwd_k,regime,n,mean_ret,median_ret,mean_vol,t_ret,p_ret
btcusdt,10,oos_all,14390,-0.00018230520648448374,3.9010330618448574e-05,0.0028334296022901324,-2.148751695560558,0.03167072170235823
btcusdt,10,oos_low_vpin_q20,2878,-0.001199684135973997,-0.0008489653761658449,0.0033497222044775047,-5.218414304667727,1.9329096657639845e-07
btcusdt,10,oos_high_vpin_q80,7095,-5.412642164508676e-06,4.594051255715177e-05,0.0025599274110097428,-0.05208486430962058,0.9584625396208192
btcusdt,10,oos_high_vpin_buy_dom,2645,0.0004797079168596503,0.0002234583603059605,0.002423915201406283,3.1096906900119765,0.0018927834180864059
btcusdt,10,oos_high_vpin_sell_dom,4450,-0.0002937595811799918,-7.465986304023325e-05,0.0026407706232347205,-2.1312303539007265,0.0331248325035043
btcusdt,25,oos_all,14375,-0.0004735901013971328,0.0003945093442730762,0.002904948502939688,-3.598084674501283,0.00032164590269217444
btcusdt,25,oos_low_vpin_q20,2875,-0.003121715253399346,-0.0016023673400675999,0.0034446598861851904,-8.718627908655563,4.674883107388417e-18
btcusdt,25,oos_high_vpin_q80,7095,8.211556784584192e-05,0.0005520610142896828,0.002618968878012753,0.5193407368069523,0.6035393524555073
btcusdt,25,oos_high_vpin_buy_dom,2645,0.0015086287208635068,0.0013282176985413951,0.002477791539759232,6.176551698384037,7.56180739012999e-10
btcusdt,25,oos_high_vpin_sell_dom,4450,-0.000765778205127579,0.00021174946956224549,0.0027028821498510814,-3.7343663317641487,0.00019054314278915463
btcusdt,50,oos_all,14350,-0.0009631606862793927,-0.0002004414049616304,0.002935576316746697,-5.279998504225762,1.3106922329084166e-07
btcusdt,50,oos_low_vpin_q20,2870,-0.006676638147367529,-0.0059649746269975715,0.0034658695069308414,-14.311401675302236,6.304160562186146e-45
btcusdt,50,oos_high_vpin_q80,7095,0.00026714334038255484,0.0006487620751090944,0.0026453120671532577,1.2237581059534457,0.2210841362072405
btcusdt,50,oos_high_vpin_buy_dom,2645,0.003197191931467429,0.0034125958504818564,0.0024981531735031315,9.114351500724535,1.5228874903013115e-19
btcusdt,50,oos_high_vpin_sell_dom,4450,-0.0014744248671274432,-0.0010664988206322882,0.0027327806679857485,-5.353449821265092,9.063785955752998e-08
btcusdt,100,oos_all,14300,-0.0018620510039531954,-0.0002761268896227519,0.0029543298534938957,-7.081438705896232,1.493215005951282e-12
btcusdt,100,oos_low_vpin_q20,2860,-0.012839403122195475,-0.012537035972222034,0.0034953725323030294,-18.274457561102086,1.1943515575530856e-70
btcusdt,100,oos_high_vpin_q80,7095,0.001782334019040183,0.0024872408927080498,0.0026608291612319895,5.7048828620354355,1.2111080945841437e-08
btcusdt,100,oos_high_vpin_buy_dom,2645,0.005814624148632473,0.006562324901906865,0.002526388695013799,11.064897339478533,7.511283198071269e-28
btcusdt,100,oos_high_vpin_sell_dom,4450,-0.0006143867433804034,-0.00040272990162094224,0.002740738157444824,-1.6017098635543294,0.10929077677354083
ethusdt,10,oos_all,31456,4.904667024663391e-05,8.868665599392942e-05,0.003088891739948457,0.7871793065091498,0.4311828401986698
