,basket,btcusdt,ethusdt,suiusdt,avaxusdt,linkusdt,equity
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,-0.002556420694990534,0.0,0.0,0.0,-0.002556420694990534,0.0,-0.002556420694990534
2024-01-04,-0.00921951136939735,0.0,0.0,0.0,-0.00921951136939735,0.0,-0.011775932064387883
2024-01-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.011775932064387883
2024-01-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.011775932064387883
2024-01-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.011775932064387883
2024-01-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.011775932064387883
2024-01-09,-0.0014594444498052252,-0.0014594444498052252,0.0,0.0,0.0,0.0,-0.013235376514193108
2024-01-10,-0.00540917174458336,-0.0114745542670315,0.0060653825224481405,0.0,0.0,0.0,-0.01864454825877647
2024-01-11,0.01632912217826511,0.0,0.012459783436444175,0.0,0.003869338741820934,0.0,-0.0023154260805113604
2024-01-12,0.012889827918984399,0.0,0.0,0.004906854099300881,0.007982973819683516,0.0,0.010574401838473038
2024-01-13,-0.003771252365984635,0.0,0.00023736176825274013,-0.004008614134237375,0.0,0.0,0.006803149472488403
2024-01-14,-0.0022011747533399635,0.0,0.0003663461374961905,-0.0017985641715403333,0.0,-0.0007689567192958208,0.00460197471914844
2024-01-15,-0.0010836393623283173,0.0,0.0003663461374961905,-2.872706662876921e-05,0.0,-0.0014212584331957385,0.003518335356820122
2024-01-16,0.0026067726623373263,0.0,0.00019233172218550003,0.0,0.0,0.002414440940151826,0.006125108019157449
2024-01-17,0.0024225573682671612,0.0,0.0,0.001808449244645785,0.0,0.0006141081236213761,0.00854766538742461
2024-01-18,0.000836818765764703,0.0,0.0,0.009864268607158827,0.0,-0.009027449841394124,0.009384484153189312
2024-01-19,-0.007351556397259802,0.0,0.0,0.00596651247002454,0.0,-0.013318068867284342,0.0020329277559295103
2024-01-20,0.0008852538306043913,0.0,0.0,0.0005145265029924352,0.0,0.00037072732761195607,0.0029181815865339015
2024-01-21,0.0018752270603589962,0.0,0.0,0.0005834001293772493,0.0,0.0012918269309817468,0.004793408646892898
2024-01-22,0.00090314545263313,0.0,0.0,0.0005003466387367381,0.0,0.0004027988138963919,0.0056965540995260276
2024-01-23,-8.414486288111984e-05,0.0,-8.414486288111984e-05,0.0,0.0,0.0,0.005612409236644907
2024-01-24,-0.00036404330414916526,0.0,-0.0012890276866894953,0.00092498438254033,0.0,0.0,0.005248365932495742
2024-01-25,-0.00039119365545854754,0.0,-0.0012890276866894953,0.0008978340312309478,0.0,0.0,0.004857172277037194
2024-01-26,-0.023227125813554426,0.0003405483655247315,-0.0012890276866894953,-0.022278646492389663,0.0,0.0,-0.01836995353651723
2024-01-27,-0.003164074994375834,0.0025946542135217637,-0.0005021837029394492,-0.005256545504958149,0.0,0.0,-0.021534028530893066
2024-01-28,0.002527196363479753,0.0025946542135217637,0.0,-0.002766026081374134,0.004780732639797905,-0.002082164408465782,-0.019006832167413314
2024-01-29,-0.023862900075288216,0.0025946542135217637,0.0,-0.018719697017256176,-0.004653169259011904,-0.0030846880125418993,-0.04286973224270153
2024-01-30,-0.009928375406070732,0.0017333731620888448,0.0,-0.0013096311637148352,-0.0051839975299706395,-0.005168119874474101,-0.05279810764877227
2024-01-31,-0.00304116667676632,0.0,0.0,0.003457688188004275,-0.004233315265450224,-0.002265539599320371,-0.05583927432553859
2024-02-01,0.009802220116182236,0.0,0.0,0.0,0.0,0.009802220116182236,-0.04603705420935635
2024-02-02,-0.01897083866782519,0.0,0.0,0.0,-0.007509464040287539,-0.011461374627537652,-0.06500789287718155
2024-02-03,-0.0053792240103064555,0.0,-0.00023277941086569047,0.0,-0.003727255638203417,-0.0014191889612373487,-0.070387116887488
2024-02-04,-0.00822579008820995,0.0,-0.0031327322583793856,-0.0026496739886176643,-0.0031288365436103597,0.0006854527023974589,-0.07861290697569795
2024-02-05,-0.009159088947762076,0.0021254154784980266,-0.0031327322583793856,-0.0036807826885762707,0.0004380093649064905,-0.004908998844210937,-0.08777199592346002
2024-02-06,0.0002368952742288189,0.004119243996012325,-0.0031327322583793856,0.00023886424085903422,0.0017455544968339,-0.0027340352010970554,-0.0875351006492312
2024-02-07,0.006369541204975623,0.004119243996012325,-0.0022938147904431614,0.00024019867795880537,0.0010097547887934991,0.003294158532654154,-0.08116555944425558
2024-02-08,0.009498168210635856,0.005173166212484546,0.0020456744924534104,1.017508288575495e-05,0.0,0.0022691524228121438,-0.07166739123361972
2024-02-09,0.003499077037976838,0.006887815889973962,0.0020456744924534104,0.0,-0.0054520752838080324,1.7661939357497216e-05,-0.06816831419564288
2024-02-10,-0.008013801488420309,0.0031138667669257285,0.0020456744924534104,0.0005834639623886412,-0.008524417381849694,-0.005232389328338394,-0.07618211568406319
2024-02-11,-0.009152499194269494,0.004826770974388339,8.94982590448367e-05,0.0011572838923411067,-0.0038123088846605574,-0.01141374343538322,-0.08533461487833269
2024-02-12,0.01028448037379651,0.005605282421870329,0.003419810620570221,0.0007184804164951038,-0.0005205199807263848,0.0010614268955872383,-0.07505013450453618
2024-02-13,0.014541892986218457,0.005751754682366722,0.0092915609313606,0.0,-0.0024002225537299595,0.0018987999262210938,-0.060508241518317726
2024-02-14,0.011990325957054019,0.012610712122246582,0.006608054803902955,0.0,-0.007228440969095518,0.0,-0.04851791556126371
2024-02-15,0.007670271264692066,0.0009042984665627019,0.0049905088549592755,0.0,0.001775463943170089,0.0,-0.040847644296571645
2024-02-16,0.00432776775175713,-0.0014763489372325764,0.0010882081808730642,0.0,0.004715908508116642,0.0,-0.03651987654481451
2024-02-17,4.373335441472197e-05,-0.0008437744273211183,0.0,0.0,0.0008875077817358403,0.0,-0.03647614319039979
2024-02-18,0.0004309416251777988,0.0,0.0,0.0,0.0004309416251777988,0.0,-0.03604520156522199
2024-02-19,0.005620205285225322,0.0,0.0,0.0,0.0020279605890719944,0.003592244696153328,-0.03042499627999667
