variant,description,assets,n_trades,trades_per_year,is_sharpe,is_total,is_mdd,oos_sharpe,oos_total,oos_mdd,full_sharpe,full_total,full_mdd,funding_threshold_bps
V6_funding_0bps,"V6 config, require |funding_entry| >= 0 bps/day",suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt,698,324.13657833215825,0.4394089549026391,0.1596389843640023,-0.32485390271061,3.4287333028186944,0.5632731889979733,-0.09673038770461984,1.3473053433174973,0.7229121733619763,-0.32485390271061,0.0
V6_funding_1bps,"V6 config, require |funding_entry| >= 1 bps/day",suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt,503,233.58266318205673,0.8027001426403959,0.2644703209386246,-0.22847652045503758,1.768954206315904,0.21319824208768637,-0.11160029323557766,1.0256120799123236,0.4776685630263109,-0.22847652045503758,1.0
V6_funding_2bps,"V6 config, require |funding_entry| >= 2 bps/day",suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt,150,69.65685780777041,-0.613544497845952,-0.09236552594951812,-0.16373309978986306,-0.25350311076167514,-0.006533636286798553,-0.038710584171995924,-0.4983694741530773,-0.0988991622363167,-0.16373309978986306,2.0
V6_funding_3bps,"V6 config, require |funding_entry| >= 3 bps/day",suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt,106,49.22417951749108,-0.2920156004237925,-0.034730978147949725,-0.10394952229291934,-2.058902929691863,-0.0257990914307542,-0.03368191312943481,-0.39130406196393064,-0.060530069578703924,-0.10394952229291934,2.9999999999999996
V6_funding_5bps,"V6 config, require |funding_entry| >= 5 bps/day",suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt,47,21.825815446434724,-1.358576506935757,-0.11268779722185304,-0.12229353694415677,-1.851341102373111,-0.015034893668875402,-0.017180671390659933,-1.184510484324749,-0.12772269089072846,-0.12986846861251297,5.0
