symbol,bucket,lookback,fwd_k,is_n,is_rho,is_p,is_vol_ratio,oos_n,oos_rho,oos_p,oos_vol_ratio,oos_dir_acc
SOLUSDT,50000,50,50,6040,0.0974,3.2576668141100255e-14,1.077,2261,-0.3447,4.247521400511459e-64,0.725,0.5077
SOLUSDT,50000,100,10,5990,0.0617,1.7848077857855615e-06,1.049,2301,-0.2602,6.399363846316344e-37,0.712,0.4902
SOLUSDT,50000,100,25,5990,0.1066,1.2859313939375967e-16,1.071,2286,-0.3201,1.2568233618323806e-55,0.727,0.5328
SOLUSDT,50000,100,50,5990,0.1078,5.803086259904249e-17,1.062,2261,-0.2638,2.5852701618894474e-37,0.779,0.543
SOLUSDT,200000,25,10,1650,0.0556,0.023937901145075387,1.071,617,-0.2,5.497147766274197e-07,0.802,0.5161
SOLUSDT,200000,25,25,1650,0.1158,2.396555112406723e-06,1.057,602,-0.0331,0.41690982800111703,0.895,0.5372
SOLUSDT,200000,25,50,1650,0.0755,0.00215267587540956,1.048,577,0.2812,5.998843731174455e-12,1.162,0.4828
SOLUSDT,200000,50,10,1625,0.128,2.251722602318665e-07,1.088,617,-0.0017,0.9664083945700895,1.017,0.5565
SOLUSDT,200000,50,25,1625,0.1345,5.23970991738877e-08,1.092,602,0.1491,0.00024111526342639287,1.185,0.5785
SOLUSDT,200000,50,50,1625,-0.0044,0.860517835837296,1.024,577,0.3975,2.7529326119568414e-23,1.345,0.5259
SOLUSDT,200000,100,10,1575,-0.0008,0.9746371839316882,0.987,617,0.0975,0.015393107558233716,1.116,0.5645
SOLUSDT,200000,100,25,1575,-0.0408,0.10522888247859553,0.958,602,0.3213,6.352757834121539e-16,1.32,0.5041
SOLUSDT,200000,100,50,1575,-0.1061,2.446545957547104e-05,0.948,577,0.5601,5.8449504266836484e-49,1.42,0.4828
