variant,description,assets,n_trades,trades_per_year,is_sharpe,is_total,is_mdd,oos_sharpe,oos_total,oos_mdd,full_sharpe,full_total,full_mdd
v9_xrpusdt_both,v4 + xrpusdt (both),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|opusdt|injusdt|xrpusdt,1177,514.498717560604,0.3508371417354898,0.10288736440192284,-0.29531535248292873,3.412246801613181,0.47505812868231656,-0.11066357760752019,1.318502516450061,0.5779454930842397,-0.29531535248292873
v9_1000pepeusdt_short,v4 + 1000pepeusdt (short only),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|opusdt|injusdt|1000pepeusdt,1077,470.7859972920735,-0.21899167839022254,-0.06540763676775516,-0.3396160173461768,3.167119652323008,0.46815603552833035,-0.12640429297965813,0.891618519398532,0.40274839876057517,-0.3396160173461768
v9_xrpusdt_short,v4 + xrpusdt (short only),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|opusdt|injusdt|xrpusdt,1140,498.3250110612477,0.02966222163350763,0.009068433808786195,-0.42364114464869956,3.0471912270433337,0.4440639170694031,-0.16288926243973206,0.9904847430458027,0.4531323508781893,-0.42364114464869956
v9_adausdt_both,v4 + adausdt (both),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|opusdt|injusdt|adausdt,1125,491.7681030209681,0.06116649614815535,0.01908883804343377,-0.3711932663940689,2.9502593274300155,0.4048042955100615,-0.13869886981432059,0.92582853168739,0.4238931335534952,-0.3711932663940689
v9_1000pepeusdt_both,v4 + 1000pepeusdt (both),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|opusdt|injusdt|1000pepeusdt,1095,478.65428694040895,0.1557306089627342,0.046193449016507335,-0.3207931453962631,2.940630475514944,0.43802561646589955,-0.1327150439233497,1.0761570924485095,0.48421906548240684,-0.3207931453962631
v4_baseline,v4 production: trio both + FET/ARB/OP/INJ short,suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|opusdt|injusdt,943,412.2109521322426,0.2268974029375041,0.06916624058578179,-0.3222512542209921,2.881339034406624,0.4414707930063778,-0.1372205032960399,1.104230100198184,0.5106370335921597,-0.3222512542209921
v9_nearusdt_short,v4 + nearusdt (short only),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|opusdt|injusdt|nearusdt,1077,470.7859972920735,0.6243178961692685,0.18911054683609704,-0.31213034705987874,2.848354419647854,0.42116780076473087,-0.13505047355378125,1.3394727233925448,0.6102783476008278,-0.31213034705987874
v9_nearusdt_both,v4 + nearusdt (both),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|opusdt|injusdt|nearusdt,1098,479.9656685484649,0.7207249025649526,0.2125942492031265,-0.3011546868649127,2.8206941523775586,0.3931866503432123,-0.12034852566509308,1.3771016228987873,0.6057808995463395,-0.3011546868649127
v9_aptusdt_short,v4 + aptusdt (short only),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|opusdt|injusdt|aptusdt,1058,462.4805804410527,-0.02658798161383691,-0.0073136403381714715,-0.31678119594683257,2.7953058646371596,0.4278530512364332,-0.13457303337010962,0.9772834124776963,0.4205394108982617,-0.31678119594683257
v9_adausdt_short,v4 + adausdt (short only),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|opusdt|injusdt|adausdt,1102,481.71417735920613,0.2286238321485072,0.07124462544103931,-0.349395156090815,2.789350195043917,0.3992016259331662,-0.1470414505020878,1.0189195518039686,0.4704462513742056,-0.349395156090815
