variant,description,assets,n_trades,trades_per_year,is_sharpe,is_total,is_mdd,oos_sharpe,oos_total,oos_mdd,full_sharpe,full_total,full_mdd
V8_op_inj_tao,V6 + OP + INJ + TAO short,suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|opusdt|injusdt|taousdt,1033,454.2726046606582,0.24799269145013575,0.07490862639471926,-0.3028325416610248,3.4484609496456877,0.48120460837823714,-0.10730335519305453,1.2399509142455376,0.5561132347729563,-0.3028325416610248
V8_op_inj,V6 + OP + INJ short,suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|opusdt|injusdt,917,403.26038574426286,0.2591728888427811,0.08028080575329556,-0.33423447405399476,3.2952558595418173,0.4819109987136665,-0.10047671081002632,1.2159648060707775,0.562191804466962,-0.33423447405399476
V8_op_tao,V6 + OP + TAO short,suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|opusdt|taousdt,935,411.1760748864621,0.27874280066370066,0.0887562648608258,-0.271243606452138,3.153111586549942,0.4635821815792306,-0.12389580227238588,1.1688819832393693,0.5523384464400565,-0.271243606452138
V8_op,V6 + OP short,suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|opusdt,819,360.16385597006683,0.29429694890581765,0.09676835663457937,-0.30305223540238835,2.990620528467885,0.4620397989715549,-0.11814211060466512,1.1404503317954928,0.5588081556061337,-0.30305223540238835
V8_inj_tao,V6 + INJ + TAO short,suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|injusdt|taousdt,928,408.0984342290875,0.466041458842078,0.1509385412734407,-0.29615279100160646,2.9557363654235767,0.42050393801477914,-0.11762639203916966,1.2035878886747333,0.5714424792882195,-0.29615279100160646
V8_inj,V6 + INJ short,suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|injusdt,812,357.0861299504516,0.5006012885917032,0.16761062784505534,-0.3320579721422239,2.7615887504740337,0.4130500839142227,-0.11332006935694208,1.1786886775364764,0.5806607117592778,-0.3320579721422239
V8_tao,V6 + TAO short,suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt|taousdt,830,365.0018323385158,0.5144160347447887,0.17881262457324248,-0.25801981316155764,2.5403812789132822,0.39053465371040413,-0.13869627748761296,1.1159921531015666,0.5693472782836461,-0.25801981316155764
V6_baseline,trio + FET/ARB short (production),suiusdt|avaxusdt|linkusdt|fetusdt|arbusdt,714,313.98952805987983,0.558182368733737,0.20291501267817824,-0.29416093491945605,2.3178136521283386,0.37694697294131163,-0.1345471451888101,1.08412707283375,0.5798619856194904,-0.29416093491945605
