asset,lag,buy_n,buy_mean,buy_t,sell_n,sell_mean,sell_t,spread
btcusdt,0,1445,0.009008440780532583,13.446921078782083,2020,0.0010765629646071312,1.612863702435157,0.00793187781592545
btcusdt,1,1445,0.009009146402355213,13.422823233554633,2020,0.0010731149458001082,1.6132043554800302,0.007936031456555104
btcusdt,2,1445,0.009023819881192144,13.429176177877773,2020,0.0010672578319436152,1.6086097873297067,0.00795656204924853
btcusdt,5,1445,0.008884588686516745,13.150807355962112,2020,0.0011538981782452707,1.75532537358232,0.0077306905082714745
btcusdt,10,1445,0.008649248272367764,12.59134528029138,2020,0.0009818515728668561,1.5460494772171292,0.007667396699500908
btcusdt,20,1445,0.007964343290750365,11.226743572706177,2020,0.000618647056894523,1.0292404865160798,0.007345696233855842
ethusdt,0,2631,0.009306843977109942,13.046131695203634,6079,0.0007900956400694861,1.7234158058701872,0.008516748337040456
ethusdt,1,2631,0.00923906512308432,12.939148077803669,6079,0.000805611456924069,1.7564661528685126,0.00843345366616025
ethusdt,2,2631,0.009249432745350589,12.961202323939485,6079,0.0007839537451068101,1.707732092008786,0.008465479000243779
ethusdt,5,2631,0.009212640787846166,12.936186272692943,6079,0.0007610393947946339,1.6540778006317716,0.008451601393051532
ethusdt,10,2631,0.009077665158702295,12.84425427842667,6079,0.0007976722937705547,1.7339026183126587,0.00827999286493174
ethusdt,20,2631,0.009490593553093198,13.51752408181513,6079,0.0006187776863003772,1.345998199667785,0.008871815866792821
solusdt,0,1247,0.001301737419030379,1.4412585945169456,4294,-0.003550260066019603,-5.038352925867402,0.004851997485049982
solusdt,1,1247,0.0011612040640712824,1.2847040584052754,4294,-0.003545905256881166,-5.011794065705292,0.004707109320952448
solusdt,2,1247,0.0009333382774948883,1.0330047954132047,4294,-0.0036057240062770434,-5.084975698045245,0.004539062283771931
solusdt,5,1247,0.00043301768342032045,0.47699389797906117,4294,-0.003720533886650469,-5.252875683317863,0.004153551570070789
solusdt,10,1247,0.00039837977987172474,0.44219155303368274,4294,-0.003885319474247415,-5.529582249405071,0.00428369925411914
solusdt,20,1247,0.0007322098245046814,0.8306418506971964,4294,-0.004263309729057218,-6.098257798262004,0.0049955195535619
