sharpe,sortino,calmar,max_drawdown,max_dd_duration,profit_factor,win_rate,payoff_ratio,expectancy,tail_ratio,time_in_market,skewness,kurtosis,total_return,n_trades,mean_return,std_return,t_stat,p_value,asset,timeframe,strategy,type,holding,grade,pass_raw,pass_bonf
0.13,0.2945,-0.1154,-0.4576,273,1.0186,0.4687,1.1548,0.000112,1.2662,0.068,6.747,101.4918,-0.0619,702,0.000112,0.020951,0.141,0.88789971,TIA,1h,inside_bar_novol,priceaction,2h,D,False,False
0.4694,0.9156,0.2612,-0.4487,259,1.065,0.4548,1.2764,0.000533,1.2369,0.0601,3.3473,34.5969,0.1394,620,0.000533,0.026041,0.5094,0.61067881,TIA,1h,inside_bar_novol,priceaction,4h,D,False,False
0.1034,0.1584,-0.264,-0.5842,482,1.014,0.51,0.9744,0.000169,0.9721,0.0486,0.8444,10.6632,-0.179,502,0.000169,0.033775,0.1122,0.91067371,TIA,1h,inside_bar_novol,priceaction,8h,D,False,False
0.5437,0.9061,0.2679,-0.4969,145,1.0811,0.4858,1.1441,0.001179,1.0366,0.0411,0.6942,4.4439,0.1586,424,0.001179,0.041134,0.59,0.55550493,TIA,1h,inside_bar_novol,priceaction,12h,C,False,False
-0.5386,-0.7896,-0.8059,-0.774,265,0.9075,0.4746,1.0045,-0.002198,0.9629,0.0267,0.0991,3.2259,-0.6837,276,-0.002198,0.062486,-0.5844,0.55942511,TIA,1h,inside_bar_novol,priceaction,1d,F,False,False
-0.9157,-1.5016,-0.6541,-0.5233,435,0.8745,0.4553,1.0462,-0.000833,0.9388,0.0477,1.6985,18.5236,-0.3894,492,-0.000833,0.01859,-0.9937,0.32087394,TIA,1h,engulfing,priceaction,2h,F,False,False
0.0961,0.1544,-0.1432,-0.4352,265,1.0142,0.4576,1.2022,0.000119,1.1359,0.0434,0.7559,7.4009,-0.073,448,0.000119,0.024148,0.1043,0.91699361,TIA,1h,engulfing,priceaction,4h,D,False,False
-0.0179,-0.0307,-0.377,-0.5436,189,0.997,0.4755,1.0999,-3.7e-05,1.0859,0.0375,2.7125,30.0618,-0.2367,387,-3.7e-05,0.037335,-0.0194,0.98451593,TIA,1h,engulfing,priceaction,8h,F,False,False
0.7093,1.1351,0.5058,-0.5805,119,1.1287,0.4866,1.191,0.001842,1.0775,0.0325,0.9828,9.1899,0.3541,335,0.001842,0.043804,0.7697,0.44201208,TIA,1h,engulfing,priceaction,12h,C,False,False
0.981,1.5717,1.0402,-0.5886,82,1.2091,0.5234,1.101,0.004159,1.1878,0.0228,0.4433,2.896,0.7549,235,0.004159,0.059889,1.0645,0.28820123,TIA,1h,engulfing,priceaction,1d,C,False,False
-0.0304,-0.0501,-0.1516,-0.4704,259,0.995,0.4775,1.0887,-3.2e-05,1.0137,0.0388,1.7584,18.4961,-0.0834,400,-3.2e-05,0.019477,-0.033,0.97369124,TIA,1h,engulfing_strong,priceaction,2h,F,False,False
0.747,1.191,0.6943,-0.3817,237,1.1302,0.4811,1.2191,0.001062,1.2299,0.0358,0.7445,7.321,0.3189,370,0.001062,0.025192,0.8106,0.41814328,TIA,1h,engulfing_strong,priceaction,4h,C,False,False
0.6796,1.1776,0.6266,-0.4378,120,1.1348,0.497,1.1487,0.001587,1.1223,0.0318,2.7628,29.2585,0.3304,328,0.001587,0.038969,0.7374,0.46140642,TIA,1h,engulfing_strong,priceaction,8h,C,False,False
