strategy,variant,strategy_type,timeframe,asset,holding_period,holding_bars,n_trades,n_long,n_short,mean_return,std_return,sharpe,t_stat,p_value,win_rate,max_drawdown,profit_factor,total_return,mean_long,mean_short,mean_price_ret,mean_funding_ret,total_funding_pnl,test_bars
funding_carry,simple_0.01_7d,carry,1d,BTC,3d,3,39,0,39,-0.010956590008381827,0.04986690583870344,-0.7248328251203897,-1.372130103538733,0.17806916440629944,0.3333333333333333,-0.38316470829292293,0.5524724132386742,-0.3798707863616463,0.0,-0.010956590008381827,-0.010578467700689521,0.0006218776923076925,0.024253230000000004,1308
funding_carry,zscore_1.5,carry,1d,BTC,3d,3,61,37,24,-0.007901992234110143,0.05048886158436053,-0.6457263335806972,-1.2223791614385102,0.22634452630820578,0.4426229508196721,-0.40155919412030683,0.645208029604601,-0.4312305010469357,-0.002140641299428704,-0.01678407492507736,-0.007107034365257683,0.00020504213114754097,0.012507569999999999,1308
funding_carry,zscore_1.5,carry,1d,BTC,1w,7,39,22,17,-0.015860928731568278,0.07002687212304258,-0.7472032448412828,-1.4144779736462099,0.16536358884665028,0.358974358974359,-0.458405139878701,0.5364131546950713,-0.5146267262270153,-0.006911062385918574,-0.027443108708291437,-0.015181635654645202,0.00032070692307692303,0.012507569999999999,1308
funding_carry,extreme_90,carry,1d,BTC,3d,3,52,40,12,-0.004218097032184664,0.052314386948940285,-0.307142318041465,-0.5814295463031268,0.563512091758188,0.5192307692307693,-0.3714835194701157,0.788701379427606,-0.2539853946650321,0.0013294757755259322,-0.02271000639121999,-0.003349685493723126,0.00013158846153846153,0.006842599999999999,1308
funding_carry,extreme_90,carry,1d,BTC,1w,7,30,24,6,-0.003128594062717446,0.0618524189996412,-0.14635100704334683,-0.2770468106408284,0.7837094271383,0.4666666666666667,-0.31141949051977624,0.8777810944953053,-0.1395579963419461,0.004816543739582264,-0.0349091452719163,-0.0023509237293841134,0.0002223296666666667,0.006669890000000001,1308
funding_carry,simple_0.01_7d,carry,1d,ETH,3d,3,39,0,39,-0.004880214148655978,0.053758489241537935,-0.29947921637464137,-0.5669230668514269,0.5741002518249977,0.3333333333333333,-0.2809093982089028,0.7895474057585627,-0.21691017559744596,0.0,-0.004880214148655978,-0.004524533892245719,0.0006443197435897436,0.02512847,1308
funding_carry,zscore_1.5,carry,1d,ETH,3d,3,55,31,24,0.004585965493640005,0.06719126051548938,0.2673879915012282,0.5061734233720113,0.6147952611181787,0.4909090909090909,-0.24073119156122402,1.1806454853794472,0.1413669483618969,0.014140635864800513,-0.007755483735775647,0.005353649311821825,0.0002323161818181818,0.01277739,1308
funding_carry,zscore_1.5,carry,1d,ETH,1w,7,34,20,14,-0.0010436845749101527,0.11099973646385772,-0.02896205246627208,-0.05482602701200741,0.95660765548908,0.47058823529411764,-0.40841397533656254,0.9766746499164828,-0.2262002894755354,0.005341980559197287,-0.010166063337920778,-0.0004194901631454444,0.00037580558823529413,0.01277739,1308
funding_carry,zscore_2.0,carry,1d,ETH,3d,3,30,18,12,-0.015054404170037975,0.05197771065905168,-0.8380107925588932,-1.58637936322686,0.12349851356828496,0.3333333333333333,-0.35807012429366625,0.49721328610315485,-0.39012228795161064,-0.006002521042312795,-0.02863222886162575,-0.014334671836704642,0.0002802676666666667,0.00840803,1308
funding_carry,extreme_90,carry,1d,ETH,3d,3,59,50,9,-0.006646246377349933,0.07288464544490171,-0.37000616237071043,-0.7004326739746743,0.4864574904312324,0.4915254237288136,-0.5200747001155819,0.7806917819352733,-0.42505974658827883,-0.005642810807668409,-0.01222088843113618,-0.0057825667163329845,0.00013632033898305085,0.0080429,1308
