sharpe,sortino,calmar,max_drawdown,max_dd_duration,profit_factor,win_rate,payoff_ratio,expectancy,tail_ratio,time_in_market,skewness,kurtosis,total_return,n_trades,mean_return,std_return,t_stat,p_value,asset,timeframe,strategy,holding,grade
0.0595,0.0961,-0.3104,-0.7585,692,1.0082,0.4948,1.0295,0.00013,1.0747,0.1666,0.1346,1.0041,-0.4297,764,0.00013,0.041627,0.0861,0.93144717,SOL,4h,EWMAC_16_64,1d,D
-0.0086,-0.0137,-0.3632,-0.8067,230,0.998,0.5118,0.952,-5.8e-05,1.0361,0.0554,-0.0639,0.0682,-0.5158,254,-5.8e-05,0.0745,-0.0124,0.99010802,SOL,4h,EWMAC_16_64,3d,F
0.0318,0.045,-0.351,-0.8365,84,1.0117,0.5413,0.8574,0.000514,1.03,0.0238,-0.3706,1.5591,-0.5167,109,0.000514,0.116714,0.046,0.96343014,SOL,4h,EWMAC_16_64,1w,D
-0.4538,-0.7646,-0.5793,-0.8487,692,0.9399,0.4751,1.0383,-0.000989,1.1208,0.1666,0.2967,1.0169,-0.7572,764,-0.000989,0.041642,-0.6564,0.51174503,SOL,4h,DualMom_63,1d,F
-0.3825,-0.618,-0.5268,-0.9118,230,0.9157,0.4803,0.9907,-0.002586,0.9511,0.0554,0.0025,0.0653,-0.7457,254,-0.002586,0.074489,-0.5532,0.58058418,SOL,4h,DualMom_63,3d,F
-0.1997,-0.2788,-0.4688,-0.8977,84,0.9295,0.5596,0.7314,-0.003229,0.9674,0.0238,-0.3994,1.5097,-0.6811,109,-0.003229,0.116702,-0.2888,0.77325524,SOL,4h,DualMom_63,1w,F
0.0049,0.0079,-0.3589,-0.7464,692,1.0007,0.5026,0.9902,1.1e-05,1.0327,0.1666,0.1602,1.0028,-0.4792,764,1.1e-05,0.04163,0.007,0.99438996,SOL,4h,DualMom_126,1d,D
0.1797,0.2949,-0.2546,-0.6799,230,1.0422,0.4961,1.0588,0.001215,1.0919,0.0554,0.0004,0.0651,-0.3281,254,0.001215,0.074473,0.2599,0.79514546,SOL,4h,DualMom_126,3d,D
1.2373,2.6394,1.8782,-0.5371,39,1.5737,0.5596,1.2384,0.019689,1.3979,0.0238,0.6824,1.1499,3.3029,109,0.019689,0.114858,1.7897,0.07630097,SOL,4h,DualMom_126,1w,C
-0.035,-0.0522,-0.2449,-0.5991,723,0.995,0.4699,1.1225,-5.1e-05,1.1556,0.1666,-0.1885,3.684,-0.2825,764,-5.1e-05,0.027644,-0.0506,0.95964195,BNB,4h,EWMAC_8_32,1d,F
